node,t,T,H,x,y
3,29,14.92,51.08,14.32796779577396,16.586100000000236
3,30,14.84,59.66,14.32796779577396,16.586100000000236
3,31,12.94,80.51,14.32796779577396,16.586100000000236
3,32,12.08,62.29,14.32796779577396,16.586100000000236
3,33,12.89,50.79,14.32796779577396,16.586100000000236
3,34,14.06,72.73,14.32796779577396,16.586100000000236
3,35,12.2,70.28,14.32796779577396,16.586100000000236
3,36,10.73,57.86,14.32796779577396,16.586100000000236
3,37,11.47,50.7,14.32796779577396,16.586100000000236
3,38,11.01,50.8,14.32796779577396,16.586100000000236
3,39,13.28,42.71,14.32796779577396,16.586100000000236
3,40,14.85,42.0,14.32796779577396,16.586100000000236
3,41,14.97,46.09,14.32796779577396,16.586100000000236
3,42,16.14,46.38,14.32796779577396,16.586100000000236
3,43,16.73,47.74,14.32796779577396,16.586100000000236
3,44,16.26,48.62,14.32796779577396,16.586100000000236
3,45,16.0,46.88,14.32796779577396,16.586100000000236
3,46,16.47,40.15,14.32796779577396,16.586100000000236
3,47,17.03,39.32,14.32796779577396,16.586100000000236
3,48,17.29,45.65,14.32796779577396,16.586100000000236
3,49,19.37,43.03,14.32796779577396,16.586100000000236
3,50,17.45,54.27,14.32796779577396,16.586100000000236
3,51,15.75,49.43,14.32796779577396,16.586100000000236
3,52,14.95,44.59,14.32796779577396,16.586100000000236
3,53,14.4,40.19,14.32796779577396,16.586100000000236
3,54,14.7,36.89,14.32796779577396,16.586100000000236
3,55,14.27,41.54,14.32796779577396,16.586100000000236
3,56,14.29,40.94,14.32796779577396,16.586100000000236
3,57,14.3,50.33,14.32796779577396,16.586100000000236
3,58,15.96,49.27,14.32796779577396,16.586100000000236
3,59,17.15,49.46,14.32796779577396,16.586100000000236
3,60,18.82,53.55,14.32796779577396,16.586100000000236
3,61,18.26,69.7,14.32796779577396,16.586100000000236
3,62,14.1,64.82,14.32796779577396,16.586100000000236
3,63,12.38,48.2,14.32796779577396,16.586100000000236
3,64,13.25,47.76,14.32796779577396,16.586100000000236
3,65,14.56,46.38,14.32796779577396,16.586100000000236
